Subject,Style,Trial,Jump Height (Impulse),sqrt JH,Jump Height (Flight),Bodyweight,GRF Impulse (Normalized),Net Impulse (Normalized),Concentric GRF Impulse (Normalized),Concentric Net Impulse (Normalized),GRF_Max (Normalized),Net F_Max (Normalized),GRF at Bottom (Normalized),Average Power (Normalized),Peak Power (Normalized),Depth,Contact Time,RSI (Impulse),RSI (Flight)
8,SF,3,0.296903549,0.544888566,0.348245174,60.43559871,9.666834903,5.283262353,4.496515146,2.417505346,38.03602593,28.22937593,26.29625641,0.028684993,0.050555568,0.395909401,0.447,0.664213756,0.779071978
8,SF,4,0.305247334,0.552491931,0.365439909,60.2961991,9.494568207,5.316935307,4.415132363,2.453802363,43.05627948,33.24962948,27.51052346,0.03038664,0.051720613,0.383155616,0.426,0.716543039,0.857840162
8,SF,5,0.29543016,0.543534875,0.361435118,60.42988695,9.396060272,5.277267272,4.361298909,2.409775559,32.47449398,22.66784398,27.70053172,0.029641593,0.050211622,0.375918474,0.42,0.703405142,0.860559805
8,SS,1,0.314125209,0.56046874,0.378948569,60.24588407,9.667188124,5.352262124,4.505372179,2.495008929,38.88879774,29.08214774,27.13811948,0.030324567,0.052811985,0.412989613,0.44,0.713920929,0.861246748
8,SS,2,0.277422764,0.526709373,0.352176415,60.3334577,9.115605684,5.202752334,4.153686023,2.349262423,34.39086833,24.58421833,28.36237247,0.029696322,0.050747743,0.380243099,0.399,0.695295148,0.882647656
8,SS,3,0.274641619,0.52406261,0.343037843,60.42098391,9.613829789,5.191030639,4.364570931,2.324787731,27.50468285,17.69803285,26.12039556,0.027624925,0.047623971,0.415797384,0.451,0.608961462,0.760616059
8,SS,4,0.315992275,0.562131902,0.395482581,60.25789707,9.85107345,5.35962775,4.544573464,2.494983614,42.21156269,32.40491269,25.66219658,0.029966883,0.052342236,0.411924864,0.458,0.689939464,0.863499086
8,SS,5,0.293712365,0.541952364,0.383048975,60.22517129,9.594991472,5.270258822,4.377509426,2.416179426,41.87534789,32.06869789,26.83861192,0.029122015,0.050653739,0.426276225,0.441,0.666014432,0.86859178
8,ST,1,0.128270053,0.358148088,0.177010033,60.49493874,7.123655366,4.456246566,2.892207822,1.607536672,70.6282226,60.8215726,36.59959074,0.021527441,0.035800859,0.233151648,0.272,0.471581079,0.650772178
8,ST,2,0.143320487,0.378576923,0.201066971,60.51459454,7.165095104,4.546719554,2.928252785,1.702421535,70.77119219,60.96454219,38.64935423,0.023553579,0.038924754,0.2413037,0.267,0.53678085,0.753059816
8,ST,3,0.168567592,0.410569838,0.227711639,60.50219533,7.571561371,4.688406271,3.116413528,1.831742378,49.18895891,39.38230891,36.16182831,0.025107924,0.040824782,0.278725055,0.294,0.573359155,0.774529384
8,ST,4,0.212557142,0.461039198,0.267340311,60.42050285,7.834301151,4.911919451,3.376608525,2.062517425,46.12540228,36.31875228,35.31946772,0.029238643,0.04922262,0.272036061,0.298,0.713279001,0.897115139
8,ST,5,0.173522576,0.416560411,0.231957918,60.46603436,7.568671814,4.714936664,3.106470136,1.851218936,61.15152149,51.34487149,37.26869182,0.026333095,0.043352419,0.278479018,0.291,0.596297511,0.797106248
9,SF,1,0.200304588,0.447554006,0.236243424,71.51724778,10.00068896,4.852197706,4.589032788,1.990270538,32.67589389,22.86924389,26.26499283,0.020674226,0.034790436,0.439211551,0.525,0.381532548,0.449987475
9,SF,2,0.198833351,0.445907335,0.258259354,71.26606898,10.20914266,4.84490511,4.549222928,1.989687278,27.956502,18.149852,26.40008109,0.020023126,0.034271534,0.49785279,0.547,0.3634979,0.472137758
9,SF,3,0.178609885,0.422622627,0.223504586,71.26725131,10.16486179,4.741784344,4.578606148,1.871970748,35.75288724,25.94623724,24.22809872,0.019152713,0.03320914,0.463079796,0.553,0.322983517,0.404167425
9,SF,4,0.160776951,0.400970013,0.223504586,71.32777367,10.80446782,4.645891616,4.894925596,1.786217546,28.63036227,18.82371227,27.139919,0.017576373,0.030221233,0.578161471,0.628,0.256014253,0.355899022
9,SF,5,0.166603802,0.40817129,0.21315857,71.21283708,10.56177384,4.677783843,4.790220331,1.808998731,32.27185005,22.46520005,24.96909368,0.01774387,0.030412448,0.509605211,0.6,0.277673003,0.355264284
9,SS,1,0.209676973,0.457904983,0.257135266,71.2608044,9.644457578,4.898038978,4.329789533,2.035033433,38.1657213,28.3590713,26.27391054,0.021834907,0.036949579,0.414885031,0.484,0.433216886,0.531271211
9,SS,2,0.206858223,0.454816692,0.233025617,71.56892131,10.26821275,4.884361896,4.829870825,2.015362275,37.10437368,27.29772368,24.77080788,0.020320185,0.036322697,0.439703415,0.549,0.376790935,0.424454676
9,SS,3,0.20386465,0.451513732,0.247128806,71.50530253,10.05745196,4.869734108,4.661984331,2.014188831,39.3454737,29.5388237,26.17414281,0.020884469,0.035632916,0.449786482,0.529,0.385377411,0.467162204
9,SS,4,0.241532898,0.491459966,0.251551605,71.2275298,10.52856097,5.046643616,5.1499605,2.1883522,27.83600674,18.02935674,26.66525156,0.022940525,0.038632525,0.438045018,0.559,0.432080318,0.450002871
9,SS,5,0.205665593,0.453503686,0.261646325,71.53436614,10.24278455,4.878546996,4.661334377,2.013538877,32.47222455,22.66557455,24.94647113,0.02010788,0.035942674,0.485338885,0.547,0.375988286,0.478329662
9,ST,1,0.19390051,0.440341356,0.270786123,71.56651938,7.262110963,4.820255113,3.182616214,1.966591614,57.15661507,47.34996507,45.34969743,0.029885404,0.049239941,0.217594353,0.249,0.778716907,1.08749447
9,ST,2,0.197844928,0.444797626,0.238400887,71.25557708,7.33087965,4.83999055,3.211688535,1.976050635,50.57400624,40.76735624,40.86781862,0.029592941,0.047674412,0.215051743,0.254,0.778917037,0.938586171
9,ST,3,0.148059958,0.3847856,0.226656198,71.18766601,7.074911613,4.574215863,2.90220598,1.72540798,50.20869766,40.40204766,42.5076445,0.024856674,0.041175863,0.246927577,0.255,0.580627288,0.888847836
